Accession	Species
SRR1285612	Bacillus anthracis
SRR1318540	Bacillus anthracis
SRR1776687	Bacillus anthracis
SRR1993644	Bacillus anthracis
SRR2145877	Bacillus anthracis
SRR2155541	Bacillus anthracis
SRR2155542	Bacillus anthracis
SRR2155543	Bacillus anthracis
SRR2155545	Bacillus anthracis
SRR2155549	Bacillus anthracis
SRR2155550	Bacillus anthracis
SRR2155551	Bacillus anthracis
SRR2155552	Bacillus anthracis
SRR2157175	Bacillus anthracis
SRR2157176	Bacillus anthracis
SRR2157177	Bacillus anthracis
SRR2164194	Bacillus anthracis
SRR2164197	Bacillus anthracis
SRR2174564	Bacillus anthracis
SRR2174565	Bacillus anthracis
SRR2175366	Bacillus anthracis
SRR2175367	Bacillus anthracis
ERR498173	Bacillus thuringiensis
SRR2147684	Bacillus thuringiensis
SRR2147685	Bacillus thuringiensis
SRR2147686	Bacillus thuringiensis
SRR343133	Bacillus thuringiensis
SRR343147	Bacillus thuringiensis
SRR343148	Bacillus thuringiensis
SRR346543	Bacillus thuringiensis
SRR346544	Bacillus thuringiensis
SRR346556	Bacillus thuringiensis
SRR346557	Bacillus thuringiensis
SRR346592	Bacillus thuringiensis
SRR346593	Bacillus thuringiensis
SRR346594	Bacillus thuringiensis
SRR346595	Bacillus thuringiensis
SRR346759	Bacillus thuringiensis
SRR346760	Bacillus thuringiensis
SRR346761	Bacillus thuringiensis
SRR346762	Bacillus thuringiensis
SRR346801	Bacillus thuringiensis
SRR346802	Bacillus thuringiensis
SRR346803	Bacillus thuringiensis
SRR346804	Bacillus thuringiensis
SRR346805	Bacillus thuringiensis
SRR346806	Bacillus thuringiensis
SRR346807	Bacillus thuringiensis
SRR346808	Bacillus thuringiensis
SRR346903	Bacillus thuringiensis
SRR351470	Bacillus thuringiensis
SRR351471	Bacillus thuringiensis
SRR2145883	Bacillus mycoides
SRR2145884	Bacillus mycoides
SRR2157010	Bacillus cereus
SRR2157011	Bacillus cereus
SRR2157012	Bacillus cereus
SRR2157172	Bacillus cereus
SRR2157173	Bacillus cereus
SRR2157174	Bacillus cereus
SRR2171418	Bacillus cereus
SRR2174500	Bacillus cereus
SRR2176140	Bacillus cereus
SRR2182158	Bacillus subtilis
