anthracis_accession,anthracis_prop,bacillus_depth,bases,color,coverage,fp,genus,group,lab_name,mean_depth,median_depth,n_markers,n_markers_detected,n_reads,name,near_neighbor,organism,prop_markers_detected,refcenter,refname,sample_name,species,species_group,spike_level,tax_id,uuid
SRR2175367,0.51622417,36.125,208437681,#D62E00,41.6875362,BA_panel_results/SRR2175367.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,18.64859813,19,1605,1527,29931,,,Bacillus anthracis,0.951401869,San Diego State University,GSM1820045,BHH_1,Bacillus anthracis,Bacillus anthracis,,1392,95b772397d254594
SRR2175366,0.574190956,416.75,2224666800,#D62E00,444.93336,BA_panel_results/SRR2175366.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,239.294081,247,1605,1533,384067,,,Bacillus anthracis,0.955140187,San Diego State University,GSM1820045,BHH_1,Bacillus anthracis,Bacillus anthracis,,1392,21ab1777d36d4923
SRR2174565,0.528605026,31.625,222264807,#D62E00,44.4529614,BA_panel_results/SRR2174565.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,16.71713396,19,1605,1324,26831,,,Bacillus anthracis,0.824922118,San Diego State University,GSM1820045,BHD_1,Bacillus anthracis,Bacillus anthracis,,1392,4db8c5da29bf415a
SRR2174564,0.543250612,773.25,4537907600,#D62E00,907.58152,BA_panel_results/SRR2174564.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,420.0685358,486,1605,1370,674210,,,Bacillus anthracis,0.853582555,San Diego State University,GSM1820045,BHD_1,Bacillus anthracis,Bacillus anthracis,,1392,5f90beca24754104
SRR2164197,0.342079586,477,3661128600,#D62E00,732.22572,BA_panel_results/SRR2164197.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,163.1719626,204,1605,1122,261891,,,Bacillus anthracis,0.699065421,San Diego State University,GSM1820045,BBI,Bacillus anthracis,Bacillus anthracis,,1392,616c85b64957497f
SRR2164194,0.510323556,50.5,265419112,#D62E00,53.0838224,BA_panel_results/SRR2164194.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,25.77133956,24,1605,1527,41363,,,Bacillus anthracis str. V770-NP-1R,0.951401869,San Diego State University,GSM1820045,BFG,Bacillus anthracis,Bacillus anthracis,,1449979,0bc30f91783a4251
SRR2157177,0.206290825,27.125,740050427,#D62E00,148.0100854,BA_panel_results/SRR2157177.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,5.595638629,6,1605,1512,8981,,,Bacillus anthracis str. V770-NP-1R,0.942056075,San Diego State University,GSM1820045,BFG,Bacillus anthracis,Bacillus anthracis,,1449979,b32b61b9bba34148
SRR2157176,0.510323556,50.5,265419112,#D62E00,53.0838224,BA_panel_results/SRR2157176.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,25.77133956,24,1605,1527,41363,,,Bacillus anthracis str. V770-NP-1R,0.951401869,San Diego State University,GSM1820045,BFG,Bacillus anthracis,Bacillus anthracis,,1449979,6d7e9f1e313943cf
SRR2157175,0.541991025,306.5,265419112,#D62E00,53.0838224,BA_panel_results/SRR2157175.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,166.1202492,170,1605,1531,266623,,,Bacillus anthracis str. V770-NP-1R,0.953894081,San Diego State University,GSM1820045,BFG,Bacillus anthracis,Bacillus anthracis,,1449979,2e3c592c96604f35
SRR2155552,0.390815738,10.125,99613535,#D62E00,19.922707,BA_panel_results/SRR2155552.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,3.957009346,3,1605,1047,6351,,,Bacillus anthracis,0.652336449,San Diego State University,GSM1820045,BBI,Bacillus anthracis,Bacillus anthracis,,1392,b201ff8b02b6441a
SRR2155551,0.342079586,477,3661128600,#D62E00,732.22572,BA_panel_results/SRR2155551.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,163.1719626,204,1605,1122,261891,,,Bacillus anthracis,0.699065421,San Diego State University,GSM1820045,BBI,Bacillus anthracis,Bacillus anthracis,,1392,fe28720c16ea4e02
SRR2155550,0.528232993,16.125,102704774,#D62E00,20.5409548,BA_panel_results/SRR2155550.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,8.517757009,8,1605,1491,13671,,,Bacillus anthracis,0.928971963,San Diego State University,GSM1820045,BBH,Bacillus anthracis,Bacillus anthracis,,1392,6cdf19486eda46c3
SRR2155549,0.533923379,533.25,3037036600,#D62E00,607.40732,BA_panel_results/SRR2155549.fastq.gz,Bacillus,Bacillus anthracis,Genome Science Group B6,284.7146417,290,1605,1518,456967,,,Bacillus anthracis,0.945794393,San Diego State University,GSM1820045,BBH,Bacillus anthracis,Bacillus anthracis,,1392,e23d92debfa24a29
